pdf_name,total_time,confidence_per_page,average_confidence
Dragevænget-42.pdf,7.96,"48.89,62.25,89.02",66.72
Gakkede-Gade-3.pdf,4.31,"92.96,92.62,93.65",93.08
Hikkehøj-6C.pdf,9.00,"95.30,94.97,91.93,93.67,94.49,94.85",94.20
Kluddermors-Passage-18.pdf,5.81,"93.43,92.45,93.89,77.58,0.00",71.47
Krøllebakken-99.pdf,10.03,"95.01,94.58,93.22,94.73,93.67,94.23,92.50",93.99
Nullermandsvej-1.pdf,6.82,"85.53,85.96,90.03,94.05",88.89
Skyggehus-Allé-13.pdf,4.35,"92.34,89.02,93.78",91.71
Sneglevej-0B.pdf,4.24,"90.33,91.33",90.83
Tordenkiksevej-101.pdf,70.83,"95.53,95.46,95.40,95.18,91.85,93.63,92.85,94.05,94.95,94.04,95.07,91.64,95.34,94.12,90.07,89.12,94.05,93.99,92.84,92.41,94.68,95.21,94.62,94.15,94.22,94.27,93.64,94.06,94.57,95.92,94.55,94.78",93.95
Øreflippen-9.pdf,6.72,"93.30,90.62,94.72,94.88,73.84",89.47
